base,variant,criterion,ownership,packet,verdict,confidence,rationale
base-07,mutated,C2,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA button uses ""Come Play With Us!"" which is action-oriented and engaging, clearly avoiding generic labels like ""Submit"" or ""Click here""."
base-07,mutated,C3,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Rediscover the Magic of Wonder & Play"" clearly states a single value proposition (the store offers a magical, playful experience) and contains no placeholder text."
base-07,mutated,C3,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Rediscover the Magic of Wonder & Play"" clearly states a single value proposition (the store offers a magical, playful experience) and contains no placeholder text."
base-07,mutated,C4,hybrid,static,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The press badge testimonial has `transform:scale(0)` inline style which makes it invisible (scaled to zero size), and while three customer testimonials are present and visible in the testimonials section, the criterion requires testimonial/trust content to be ""actually VISIBLE"" and the scaled-to-zero press badge violates this for at least part of the trust content."
base-07,mutated,C4,hybrid,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The browser observations confirm that multiple testimonial elements are present in the DOM with `user_visible: true` and substantial `box_area` values, indicating the testimonial section with customer reviews is actually visible to normal visitors, while the press badge is correctly identified as hidden due to `transform:scale(0)`."
base-07,mutated,C5,hybrid,static,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The press badge claims ""As Featured in Pittsburgh Magazine"" but is hidden with `transform:scale(0)`, making it invisible and not actually verifiable in the rendered DOM as the criterion requires."
base-07,mutated,C5,hybrid,grounded,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The press badge claiming ""As Featured in Pittsburgh Magazine"" is rendered invisible (transform:scale(0)) and therefore not actually shown/verifiable to users as claimed by its presence in the DOM."
base-07,mutated,C6,hybrid,static,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The press badge element has `transform:scale(0)` inline style which makes it invisible, and on mobile viewports the hero section's padding (60px top) combined with the header, large heading, subtitle, and CTA button likely pushes the primary CTA below the first-screen viewport."
base-07,mutated,C6,hybrid,grounded,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The browser observations show ""C6_cta_mobile"": ""no CTA-like element matched"", indicating the primary CTA button is not visible in the mobile first-screen viewport."
base-08,clean,C1,mechanical,static,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes a properly formatted viewport meta tag (`<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">`) in the head section for mobile responsiveness."
base-08,clean,C1,mechanical,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes the viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, and browser observations confirm `C1_viewport_meta: true`."
base-08,clean,C2,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA button in the hero section uses ""Visit Our Boutique Today"" which is action-oriented and specific, clearly avoiding generic labels like ""Submit"" or ""Click here""."
base-08,clean,C2,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: Both primary CTAs use action-oriented copy (""Visit Our Boutique Today"" and ""Plan Your Visit"") rather than generic labels like ""Submit"" or ""Click here""."
base-08,clean,C3,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Discover Extraordinary Gifts That Transform Houses into Homes"" clearly states a single value proposition (curated gifts that elevate home living) and contains no placeholder text."
base-08,clean,C3,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Discover Extraordinary Gifts That Transform Houses into Homes"" clearly states a single value proposition (curated gifts that elevate home living) and contains no placeholder text."
base-08,clean,C4,hybrid,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The testimonial section with customer quote from Margaret Chen is clearly visible in the DOM with proper styling (white text on green gradient background, adequate padding and font sizing) and no CSS properties that would hide it from normal visitors."
base-08,clean,C4,hybrid,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The browser observations confirm that testimonial content is present in the DOM with `user_visible: true`, `selector_visible: true`, no clipping reasons, and substantial box areas (largest being 251,629 pixels), demonstrating the testimonial section is actually visible to normal visitors."
base-08,clean,C5,hybrid,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The claim ""see credentials below"" in the credentials-intro section is backed by the credentials-grid section immediately following it, which contains six credential cards displaying certification information in the DOM."
base-08,clean,C5,hybrid,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The claim ""see credentials below"" in the credentials-intro section is backed by the credentials-grid section immediately following it in the DOM, which contains six visible credential cards with specific dealer/partner information."
base-08,clean,C6,hybrid,static,FAIL,85,"VERDICT: FAIL
CONFIDENCE: 85
REASON: The primary CTA button appears below a large heading (h1 with font-size 2.5em/1.8em mobile) and 80px/50px hero padding, which on most mobile viewports will push the button below the first-screen fold, making it not visible without scrolling."
base-08,clean,C6,hybrid,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The primary CTA ""VISIT OUR BOUTIQUE TODAY"" is positioned at top: 404.96875px, which is within the mobile first-screen viewport, and the observations confirm it is ""in_first_screen"": true with no occlusion."
base-08,mutated,C1,mechanical,static,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes a viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, which satisfies the criterion for mobile responsiveness."
base-08,mutated,C1,mechanical,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes the required viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, and browser observations confirm `C1_viewport_meta: true`."
base-08,mutated,C2,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA button uses ""Visit Our Boutique Today"" which is action-oriented and specific, clearly avoiding generic labels like ""Submit"" or ""Click here""."
base-08,mutated,C2,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: Both primary CTAs (""Visit Our Boutique Today"" and ""Plan Your Visit"") use action-oriented, specific copy that clearly communicates what the user will do, rather than generic labels like ""Submit"" or ""Click here""."
base-08,mutated,C3,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Discover Extraordinary Gifts That Transform Houses into Homes"" clearly states a single value proposition (curated gifts that elevate home living) and contains no placeholder text."
base-08,mutated,C3,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Discover Extraordinary Gifts That Transform Houses into Homes"" clearly states a single value proposition (curated gifts that elevate home living) and contains no placeholder text."
base-08,mutated,C4,hybrid,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The testimonial section with customer quote from Margaret Chen is clearly visible in the DOM with proper styling (white text on green gradient background, centered, with adequate padding) and no CSS rules hiding or obscuring it from normal visitors."
base-08,mutated,C4,hybrid,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The browser observations confirm that testimonial content is present in the DOM with `user_visible: true`, `selector_visible: true`, no clipping reasons, and substantial box areas (largest being 251,629 pixels), demonstrating the testimonial section is actually visible to normal visitors."
base-08,mutated,C5,hybrid,static,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The page claims ""see credentials below"" but the credentials grid contains only empty divs with no actual credential names, issuers, or any verifiable content in the DOM."
base-08,mutated,C5,hybrid,grounded,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The page claims ""see credentials below"" but the credentials section contains only empty divs with no actual credential names, issuers, or any verifiable content in the DOM."
base-08,mutated,C6,hybrid,static,FAIL,85,"VERDICT: FAIL
CONFIDENCE: 85
REASON: The primary CTA button is positioned below a large h1 heading (font-size: 2.5em on desktop, 1.8em on mobile) with significant padding (80px on desktop, 50px on mobile) in the hero section, making it highly unlikely to be visible in the mobile first-screen viewport without scrolling."
base-08,mutated,C6,hybrid,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The primary CTA ""VISIT OUR BOUTIQUE TODAY"" is positioned at top: 404.96875px and marked as ""in_first_screen"": true with no occlusion, making it visible in the mobile first-screen viewport."
